Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste de Integração,Chrome 119.0.0.0,,,2023-11-29 13:14:02,2023-11-29 13:19:49,"5m - 47,212s",FAILED
,,,,,,,
Test Cases/CDT01- RF01 - login cliente - Verificar login incorreto e correto,Chrome 119.0.0.0,,,2023-11-29 13:14:03,2023-11-29 13:14:38,"35,077s",PASSED
"openBrowser(""http://localhost/pizzaWeb2.0/site/index.php"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:04,2023-11-29 13:14:25,"21,686s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Entrar""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:25,2023-11-29 13:14:28,"2,505s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""senhaInvalida""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:28,2023-11-29 13:14:33,"4,844s",PASSED
"verifyElementText(findTestObject(""CDT01 - CDT02/Page_/div_msg_Usurio_ou_senha_invalidos""), ""Usuário ou senha inválidos."", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:33,2023-11-29 13:14:33,"0,712s",PASSED
"click(findTestObject(""Object Repository/CDT01 - CDT02/Page_/button_OK""), CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:33,2023-11-29 13:14:34,"0,590s",PASSED
"callTestCase(findTestCase(""CDT02 - login simple""), [""usuario"":""marco"", ""senha"":""marco""], CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:34,2023-11-29 13:14:37,"2,718s",PASSED
"verifyElementText(findTestObject(""Object Repository/CDT01 - CDT02/Page_PizzaWeb/a_Ol, Usuario""), ""Olá, Marco!"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:37,2023-11-29 13:14:37,"0,612s",PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 119.0.0.0,,,2023-11-29 13:14:37,2023-11-29 13:14:38,"0,740s",PASSED
,,,,,,,
Test Cases/CDT04 - RF01 - cadastro cliente - Verificar erros de preenchimento,Chrome 119.0.0.0,,,2023-11-29 13:14:38,2023-11-29 13:15:29,"50,622s",FAILED
"openBrowser("""", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:39,2023-11-29 13:14:41,"1,951s",PASSED
"navigateToUrl(""http://localhost/pizzaWeb2.0/site/index.php"", CONTINUE_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-29 13:14:41,2023-11-29 13:14:43,"2,214s",PASSED
